id,chat_match,delay,type,sender,text,next,options,timeout,default_next,tag,thresholds,require_tag,trigger_time
,,,,,,,,,,,,,
,,,,,【游戏内容 - 老妈的早间关心】,,,,,,,,,
,,,,,,,,,,,,,
mom_1,老妈,0,message,老妈,到学校了吧？路上堵不堵,mom_2,,,,,,,
mom_2,老妈,0,message,老妈,吃早饭了吗？别空着肚子上班,mom_3,,,,,,,
mom_3,老妈,0,message,老妈,我给你蒸了包子 冰箱里还有,mom_4,,,,,,,
mom_4,老妈,0,wait_input,,吃了吃了 放心吧妈,mom_5,,,,,,,,
mom_5,老妈,0.8,typing,老妈,,mom_6,,,,,,,,
mom_6,老妈,1.5,message,老妈,你每次都说吃了 我又不信,mom_7,,,,,,,
mom_7,老妈,0,message,老妈,对了 昨天你小姨打电话来,mom_8,,,,,,,
mom_8,老妈,0,message,老妈,说她家闺女今年高考 问你能不能帮忙辅导一下,mom_9,,,,,,,
mom_9,老妈,0,choice,老妈,你看你什么时候有空？,mom_agree,最近太忙了>mom_busy;周末有空>mom_agree,15,mom_busy,,,,
mom_agree,老妈,0.5,typing,老妈,,mom_agree2,,,,,,,,
mom_agree2,老妈,1.5,message,老妈,好好好！我跟你小姨说 让她周末把孩子带过来,mom_10,,,,,,,
mom_busy,老妈,0.5,typing,老妈,,mom_busy2,,,,,,,,
mom_busy2,老妈,1.5,message,老妈,也是...你们当老师的确实忙,mom_10,,,,,,,
mom_10,老妈,0,message,老妈,行了 你忙你的去吧,mom_11,,,,,,,
mom_11,老妈,0,message,老妈,中午记得吃饭！别光顾着工作,mom_12,,,,,,,
mom_12,老妈,0,message,老妈,晚上下班早点回来 注意安全,mom_end,,,,,,,
mom_end,老妈,0,wait_input,,知道啦妈 你也注意身体,mom_end2,,,,,,,,
mom_end2,老妈,0.8,typing,老妈,,mom_end3,,,,,,,,
mom_end3,老妈,1.5,message,老妈,[微笑],,,,,,,
,,,,,,,,,,,,,
,,,,,【游戏内容 - 好友闲聊】,,,,,,,,,
,,,,,,,,,,,,,
fri_1,好友-陈通,0,message,陈通,周末打球不？约了老张和小刘,fri_2,,,,,,,
fri_2,好友-陈通,0,message,陈通,上次那个球馆 场地不错,fri_3,,,,,,,
fri_3,好友-陈通,0,wait_input,,看看周末有没有空吧,fri_4,,,,,,,,
fri_4,好友-陈通,0.5,typing,陈通,,fri_5,,,,,,,,
fri_5,好友-陈通,1.5,message,陈通,行 你确定了告诉我 我先占场地,fri_6,,,,,,,
fri_6,好友-陈通,0,message,陈通,对了 听说你们学校最近挺忙的？,fri_7,,,,,,,
fri_7,好友-陈通,0,wait_input,,,fri_8,,,,,,,,
fri_8,好友-陈通,1.0,typing,陈通,,fri_9,,,,,,,,
fri_9,好友-陈通,1.5,message,陈通,当老师不容易啊 辛苦了兄弟,fri_10,,,,,,,
fri_10,好友-陈通,0,message,陈通,行 你先忙 周末见！,,,,,,,
