name,tag,tag_color,time,msg,badge,icon_color,icon_text
鹏山工贸学校通知群,内部群,blue,下午2:46,王丹妮: [倡议书] 关于...,1,blue,工贸|通知
工贸班主任通知群,内部群,blue,上午9:24,邓星妹: 通知 学校定于明天...,0,red,班主任|通知
我 (杨清),,gray,昨天,发到聊天里的文件已保存至...,0,gray,我
24级工业机器人技术...,师生,orange,3月20日,[图片],0,dark_blue,师生
24级工业机器人技术...,家校,green,3月20日,[图片],0,dark_blue,家校
工会,家校,green,3月18日,古禹: 保利郦城有送一些本周末免费...,0,light_blue,工会
测试师生群,师生,orange,2025/9/25,杨清开启了群快捷栏,0,purple,测试
教务处工作群,内部群,blue,上午11:30,朱政: 期末考试时间表已发布...,2,blue,教务
信息技术系教研群,内部群,blue,3月19日,黄伟明: 下周二实验室需要检修...,0,teal,信息|教研
校企合作交流群,外部群,green,3月17日,张经理: 实习基地参观时间确认...,0,orange,校企
