trigger,source_chat,delay,app,chat,sender,content
on_correct:announce,,8,wechat,七(3)班家长群,李妈妈,收到老师的通知，谢谢~
on_correct:announce,,15,wechat,七(3)班家长群,张家长,收到
on_correct:announce,,22,wechat,七(3)班家长群,赵妈妈,好的老师，知道了
on_correct:announce,,30,wechat,七(3)班家长群,王爸爸,收到了，谢谢
on_correct:reply:王爸爸,王爸爸,5,wechat,王爸爸,王爸爸,好的老师，太感谢了，麻烦您费心了
on_timeout:reply:王爸爸,王爸爸,90,wechat,王爸爸,王爸爸,老师？不知道您看到消息了吗
on_correct:reply:张主任,张主任,5,dingtalk,张主任,张主任,好的辛苦了~
on_timeout:reply:张主任,张主任,90,dingtalk,张主任,张主任,老师？体检表的事方便回复一下吗
on_correct:reply:小明（班长）,小明（班长）,3,wechat,小明（班长）,小明,好的老师，我去跟他们说！
on_timeout:reply:小明（班长）,小明（班长）,90,wechat,小明（班长）,小明,老师？他们又开始推了...
