id,chat_match,delay,type,sender,text,next,options,timeout,default_next,tag,thresholds,require_tag,trigger_time
,,,,,,,,,,,,,
,,,,,【班主任晨间大作战 - 新手教程】,情绪管理,信息筛选,效率至上,,,,,
,,,,,,,,,,,,,
tut_1,新手教程,0,message,系统,═══════════════════════════════════════,tut_2,,,优秀班主任,速通高手,,,
tut_2,新手教程,0,message,系统,欢迎来到《班主任晨间大作战》！,tut_3,,,新手,速通高手,,,
tut_3,新手教程,0,message,系统,现在是 2026年3月18日 周三 上午 8:00,,,,新手,,,,
tut_4,新手教程,0,message,系统,你是一名高中班主任，刚刚到办公室,,,,新手,,,,
tut_5,新手教程,0,message,系统,接下来的10分钟里，你将面对海量的工作消息,,,,新手,,,,
tut_6,新手教程,0,message,系统,【核心玩法】,tut_7,,,新手,,,,
tut_7,新手教程,0,message,系统,1. 在不同的群里收集关键信息,,,,新手,,,,
tut_8,新手教程,0,message,系统,2. 将重要通知转发到正确的群,,,,新手,,,,
tut_9,新手教程,0,message,系统,3. 根据转发速度和准确性获得评分,,,,新手,,,,
tut_10,新手教程,0,message,系统,【评分规则】,tut_11,,,新手,,,,
tut_11,新手教程,0,message,系统,• 快速响应：在消息发出后2分钟内转发 → 获得「效率至上」标签,,,,新手,,,,
tut_12,新手教程,0,message,系统,• 准确筛选：正确识别需要转发的消息 → 获得「信息筛选」标签,,,,新手,,,,
tut_13,新手教程,0,message,系统,• 情绪稳定：不被大量消息压垮 → 获得「情绪管理」标签,,,,新手,,,,
tut_14,新手教程,0,message,系统,【操作指南】,tut_15,,,新手,,,,
tut_15,新手教程,0,message,系统,💡 提示：当输入框变为白色时，随意敲击键盘即可自动输入回复,,,,新手,,,,
tut_16,新手教程,0,message,系统,💡 提示：当输入框变为绿色时，需要手动输入完整内容,,,,新手,,,,
tut_17,新手教程,0,message,系统,"💡 提示：在""学生家长群""和""学生班群""中，你需要转发重要通知",,,,新手,,,,
tut_18,新手教程,0,message,系统,准备好了吗？让我们开始练习吧！,tut_19,,,新手,,,,
tut_19,新手教程,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,tut_20,,,新手,,,,
tut_20,新手教程,0,message,系统,【练习任务】,tut_21,,,新手,,,,
tut_21,新手教程,0,message,系统,假设你收到了一条重要通知：,tut_22,,,新手,,,,
tut_22,新手教程,0,message,系统,「明天下午4点在学术报告厅召开家长会」,tut_23,,,新手,,,,
tut_23,新手教程,0,message,系统,你需要将这条通知转发到哪个群？,tut_24,,,新手,,,,
tut_24,新手教程,0,choice,系统,请选择应该转发的目标群：,tut_pass,转发到班主任通知群>tut_fail1;转发到家长群>tut_pass,15,tut_retry,信息筛选,,新手,
tut_25,新手教程,0,message,系统,回答正确！,tut_26,,,新手,,,,
tut_26,新手教程,0,message,系统,家长会通知应该转发给家长，所以应该转发到【学生家长群】,,,,新手,,,,
tut_27,新手教程,0,message,系统,现在练习一下自动输入功能：,tut_28,,,新手,,,,
tut_28,新手教程,0,message,系统,请在下方输入框随意敲击键盘，系统会自动填充回复内容,tut_29,,,新手,,,,
tut_29,新手教程,0,wait_input,,收到，我会转发到学生家长群,tut_30,,,,新手,,,
tut_30,新手教程,0.5,typing,系统,,,,,新手,,,,
tut_31,新手教程,1,message,系统,✓ 练习完成！,tut_32,,,新手,,,,
tut_32,新手教程,0,message,系统,【重要提醒】,tut_33,,,新手,,,,
tut_33,新手教程,0,message,系统,⏰ 当前游戏时间已冻结（8:00）,tut_34,,,新手,,,,
tut_34,新手教程,0,message,系统,完成新手教程后，时间将开始流动，你需要在8:00-8:10之间完成所有任务！,tut_35,,,新手,,,,
tut_35,新手教程,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,tut_36,,,新手,,,,
tut_36,新手教程,0,message,系统,准备好了吗？点击下方按钮开始正式游戏！,tut_37,,,新手,,,,
tut_37,新手教程,0,choice,系统,请选择：,start_game,继续练习>tut_retry;开始游戏>start_game,10,,新手,,,
tut_fail1,新手教程,0,message,系统,❌ 回答错误！,tut_retry,,,新手,,,,
tut_fail2,新手教程,0,message,系统,❌ 班主任通知群是工作群，用来接收学校通知，不是转发目标！,tut_retry,,,新手,,,,
tut_retry,新手教程,0,choice,系统,需要重新练习吗？,tut_24,是的>tut_24;开始游戏>start_game,10,,新手,,,
tut_pass,新手教程,0,typing,系统,,tut_25,,,新手,,,,
start_game,新手教程,0,message,系统,✓ 新手教程完成！,start_game_time,,,,新手,,,
start_game_time,新手教程,0,set_time,,08:00,game_start_2,,,,新手,,,
game_start_2,新手教程,0,freeze_time,,off,game_end,,,,新手,,,
game_end,新手教程,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,game_end_2,,,,新手,,,
game_end_2,新手教程,0,message,系统,时间开始流动！现在是 8:00,game_end_3,,,,新手,,,
game_end_3,新手教程,0,message,系统,请打开【班主任通知群】开始接收工作任务！,,,,,新手,,,
,,,,,,,,,,,,,
,,,,,【游戏正式开始 - 8:00】,时间压力,信息洪流,,,,,,
,,,,,,,,,,,,,
pn_1,班主任通知群,0,message,李雪梅,@所有人 通知 请在校班级班主任安排学生到综合实训楼安全保卫处领取《星海市理工职业学校预防校园欺凌告家长书》纸质材料，要求如下：,pn_2,,,时间压力,,,,
pn_2,班主任通知群,0,message,李雪梅,1.领取时间：3月18日-20日，上午8:00-11:30，下午14:30-17:30；,pn_3,,,时间压力,,,,
pn_3,班主任通知群,0,message,李雪梅,2.领取地点：综合实训楼安全保卫处；,pn_4,,,时间压力,,,,
pn_4,班主任通知群,0,message,李雪梅,3.发放要求：务必发放到每一位学生手中，并要求家长签字后回收回执；,pn_5,,,时间压力,,,,
pn_5,班主任通知群,0,message,李雪梅,4.截止时间：3月20日下午17:00前将回执提交到安全保卫处。,pn_6,,,时间压力,,,,
pn_6,班主任通知群,0,message,李雪梅,"5.统计收集：请班主任在钉钉表单中提交回执收集情况，表单链接：[表单]2026年3月18日""告家长书""图片转发截图收集",pn_7,,,时间压力,,,,
pn_7,班主任通知群,0,message,李雪梅,请各班主任务必重视此项工作，确保不漏一人。,pn_8,,,时间压力,,,,
pn_8,班主任通知群,0,message,李雪梅,安全保卫处 2026年3月18日,pn_9,,,时间压力,,,,
pn_9,班主任通知群,0.5,typing,系统,,,,,时间压力,,,,
pn_10,班主任通知群,1,message,系统,💡 这条通知涉及全体学生，是否需要让家长知道？,pn_11,,,时间压力,,,,
pn_11,班主任通知群,0,wait_input,,,pn_choice,,,,时间压力,,,
pn_choice,班主任通知群,0,choice,系统,请选择你的行动：,pn_forward1,先看看其他群>pn_check_others;立即转发到家长群>pn_forward1,10,pn_ignore1,信息筛选|时间压力,,,
pn_ignore1,班主任通知群,0,message,系统,你选择暂时忽略这条通知...但记住，重要通知不能拖延太久！,pn_check_others,,,时间压力,,,,
pn_forward1,班主任通知群,0,message,系统,请在【学生家长群】中转发此通知：,pn_forward_input1,,,信息筛选,,,,
pn_forward_input1,班主任通知群,0,wait_input,,,pn_forward_done1,,,,信息筛选,,,
pn_forward_done1,班主任通知群,0.5,typing,系统,,,,,信息筛选,,,,
pn_forward_done2,班主任通知群,1.5,message,系统,✓ 已成功转发到【学生家长群】！,pn_check_others,,,信息筛选,,,,
,,,,,,,,,,,,,
pn_check_others,班主任通知群,0,message,系统,━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━,sc_1_require,,,时间压力,,,,
,,,,,,,,,,,,,
,,,,,【8:01 - 学生家长群】,家校沟通,,,,,,,
,,,,,,,,,,,,,
sc_1_require,*,0,message,郑文静(数学老师),[图片],sc_2,,,家校沟通,,,,
sc_2,*,0,message,郑文静(数学老师),@所有人 接滨江市教育局通知：根据国务院办公厅发布的关于2026年部分节假日安排的通知：,sc_3,,,家校沟通,,,,
sc_3,*,0,message,郑文静(数学老师),1. 2月26日（正月初十）开学上课；,sc_4,,,家校沟通,,,,
sc_4,*,0,message,郑文静(数学老师),2. 2月28日正常上课，2月28日（周六）补周一课，2月27日（周五）正常晚自修,sc_5,,,家校沟通,,,,
sc_5,*,0,message,郑文静(数学老师),各位家长，请尽快上传孩子的身份证复印件电子版，避免影响后续技能考核与学考报名,sc_6,,,家校沟通,,,,
sc_6,*,0,message,郑文静(数学老师),"[分享]新学期即将开学，这堂交通安全""必修课""请查收→ 点击蓝色字关注我们新学期如约而至，家长、同学们准备好迎接新的学期了吗~",sc_7,,,家校沟通,,,,
